order,size,cache,phase,n,time_s,reads,writes,found
3,100000,4,insert,100000,19.7828,1568754,349941,0
3,100000,4,search,10000,1.34224,164945,0,5000
4,100000,4,insert,100000,18.8318,1468752,349873,0
4,100000,4,search,10000,1.27704,154944,0,5000
5,100000,4,insert,100000,12.4806,966738,216471,0
5,100000,4,search,10000,0.891175,107472,0,5000
6,100000,4,insert,100000,12.4422,940448,216402,0
6,100000,4,search,10000,0.808032,97467,0,5000
8,100000,4,insert,100000,9.91861,754659,174317,0
8,100000,4,search,10000,0.647389,78290,0,5000
10,100000,4,insert,100000,8.86234,656727,153456,0
10,100000,4,search,10000,0.574798,68661,0,5000
12,100000,4,insert,100000,7.95875,579017,140270,0
12,100000,4,search,10000,0.599227,68897,0,5000
16,100000,4,insert,100000,6.84226,495534,121107,0
16,100000,4,search,10000,0.493087,59171,0,5000
20,100000,4,insert,100000,5.64566,403986,101291,0
20,100000,4,search,10000,0.420482,48774,0,5000
24,100000,4,insert,100000,4.14074,299538,73969,0
24,100000,4,search,10000,0.41896,48958,0,5000
32,100000,4,insert,100000,0.288575,12236,7449,0
32,100000,4,search,10000,0.246252,29098,0,5000
3,100000,8,insert,100000,20.4403,1567685,349507,0
3,100000,8,search,10000,1.35563,164933,0,5000
4,100000,8,insert,100000,19.1571,1466628,349015,0
4,100000,8,search,10000,1.28101,154905,0,5000
5,100000,8,insert,100000,12.0229,912706,202757,0
5,100000,8,search,10000,0.884252,107149,0,5000
6,100000,8,insert,100000,11.6327,868411,198120,0
6,100000,8,search,10000,0.79492,96729,0,5000
8,100000,8,insert,100000,2.06646,134297,45633,0
8,100000,8,search,10000,0.555818,65798,0,5000
10,100000,8,insert,100000,0.496328,0,24995,0
10,100000,8,search,10000,0.463403,55790,0,5000
12,100000,8,insert,100000,0.402356,0,19997,0
12,100000,8,search,10000,0.442601,52001,0,5000
16,100000,8,insert,100000,0.315136,0,14285,0
16,100000,8,search,10000,0.394527,44950,0,5000
20,100000,8,insert,100000,0.283993,0,11108,0
20,100000,8,search,10000,0.33802,32550,0,5000
24,100000,8,insert,100000,0.238954,0,9089,0
24,100000,8,search,10000,0.287606,28916,0,5000
32,100000,8,insert,100000,0.178845,0,6665,0
32,100000,8,search,10000,0.128073,14172,0,5000
3,100000,16,insert,100000,15.2362,1005019,232130,0
3,100000,16,search,10000,1.37795,161288,0,5000
4,100000,16,insert,100000,7.37804,472478,151868,0
4,100000,16,search,10000,1.13472,137629,0,5000
5,100000,16,insert,100000,0.920072,0,50001,0
5,100000,16,search,10000,0.760674,89304,0,5000
6,100000,16,insert,100000,0.937364,0,49995,0
6,100000,16,search,10000,0.663555,80736,0,5000
8,100000,16,insert,100000,0.626513,0,33329,0
8,100000,16,search,10000,0.262228,31080,0,5000
10,100000,16,insert,100000,0.470844,0,24995,0
10,100000,16,search,10000,0.225763,26408,0,5000
12,100000,16,insert,100000,0.390024,0,19997,0
12,100000,16,search,10000,0.204654,23851,0,5000
16,100000,16,insert,100000,0.288732,0,14285,0
16,100000,16,search,10000,0.172585,20007,0,5000
20,100000,16,insert,100000,0.235275,0,11108,0
20,100000,16,search,10000,0.150744,17182,0,5000
24,100000,16,insert,100000,0.195766,0,9089,0
24,100000,16,search,10000,0.140467,15686,0,5000
32,100000,16,insert,100000,0.151805,0,6665,0
32,100000,16,search,10000,0.117793,13571,0,5000
