order,size,cache,phase,n,time_s,reads,writes,found
4,100000,1,insert,100000,16.0324,1219730,234630,0
4,100000,1,search,10000,1.19967,127189,0,5000
4,100000,2,insert,100000,16.5765,1219730,234630,0
4,100000,2,search,10000,1.26247,127189,0,5000
4,100000,3,insert,100000,17.0282,1219710,234624,0
4,100000,3,search,10000,1.28552,127189,0,5000
4,100000,4,insert,100000,16.7414,1219667,234616,0
4,100000,4,search,10000,1.26196,127188,0,5000
4,100000,5,insert,100000,16.5354,1219571,234609,0
4,100000,5,search,10000,1.23646,127187,0,5000
4,100000,6,insert,100000,16.2613,1219364,234599,0
4,100000,6,search,10000,1.1896,127176,0,5000
4,100000,7,insert,100000,16.0307,1218794,234577,0
4,100000,7,search,10000,1.21139,127137,0,5000
4,100000,8,insert,100000,16.1762,1217490,234551,0
4,100000,8,search,10000,1.25858,127077,0,5000
4,100000,10,insert,100000,17.0627,1209025,234509,0
4,100000,10,search,10000,1.28295,126709,0,5000
4,100000,12,insert,100000,15.8088,1161678,234453,0
4,100000,12,search,10000,1.18287,124223,0,5000
4,100000,16,insert,100000,14.3886,1034699,234358,0
4,100000,16,search,10000,1.11364,109131,0,5000
4,100000,20,insert,100000,14.679,1030722,234315,0
4,100000,20,search,10000,1.04841,107374,0,5000
4,100000,24,insert,100000,15.0432,1009903,234251,0
4,100000,24,search,10000,0.714626,74021,0,5000
4,100000,32,insert,100000,14.096,967820,234123,0
4,100000,32,search,10000,0.485541,51237,0,5000
8,100000,1,insert,100000,9.54248,666077,146875,0
8,100000,1,search,10000,0.644269,68955,0,5000
8,100000,2,insert,100000,9.37412,666077,146875,0
8,100000,2,search,10000,0.693535,68955,0,5000
8,100000,3,insert,100000,9.39722,665890,146857,0
8,100000,3,search,10000,0.680836,68941,0,5000
8,100000,4,insert,100000,9.48334,664855,146829,0
8,100000,4,search,10000,0.647876,68919,0,5000
8,100000,5,insert,100000,9.32494,659583,146790,0
8,100000,5,search,10000,0.649181,68767,0,5000
8,100000,6,insert,100000,9.35485,635618,146735,0
8,100000,6,search,10000,0.637363,67955,0,5000
8,100000,7,insert,100000,8.07695,547546,146691,0
8,100000,7,search,10000,0.531633,56942,0,5000
8,100000,8,insert,100000,7.88599,526006,146662,0
8,100000,8,search,10000,0.530402,56937,0,5000
8,100000,10,insert,100000,7.87704,523966,146600,0
8,100000,10,search,10000,0.533993,56509,0,5000
8,100000,12,insert,100000,7.92727,517389,146552,0
8,100000,12,search,10000,0.462087,48797,0,5000
8,100000,16,insert,100000,7.61379,493353,146417,0
8,100000,16,search,10000,0.265427,26741,0,5000
8,100000,20,insert,100000,7.5572,475624,146298,0
8,100000,20,search,10000,0.245009,25805,0,5000
8,100000,24,insert,100000,7.32939,464720,146205,0
8,100000,24,search,10000,0.241003,25149,0,5000
8,100000,32,insert,100000,7.08208,443865,145979,0
8,100000,32,search,10000,0.238973,24151,0,5000
16,100000,1,insert,100000,7.37279,479782,120240,0
16,100000,1,search,10000,0.487083,49555,0,5000
16,100000,2,insert,100000,8.13888,479782,120240,0
16,100000,2,search,10000,0.468308,49554,0,5000
16,100000,3,insert,100000,6.92566,478101,120181,0
16,100000,3,search,10000,0.459778,49519,0,5000
16,100000,4,insert,100000,6.73389,460069,120105,0
16,100000,4,search,10000,0.463266,49079,0,5000
16,100000,5,insert,100000,5.94381,361525,120022,0
16,100000,5,search,10000,0.373099,38175,0,5000
16,100000,6,insert,100000,8.51955,351192,119968,0
16,100000,6,search,10000,0.38947,38143,0,5000
16,100000,7,insert,100000,8.60021,348876,119895,0
16,100000,7,search,10000,0.364388,37799,0,5000
16,100000,8,insert,100000,7.80087,347695,119847,0
16,100000,8,search,10000,0.333235,34899,0,5000
16,100000,10,insert,100000,9.06933,329431,119733,0
16,100000,10,search,10000,0.173643,18253,0,5000
16,100000,12,insert,100000,7.8498,323419,119636,0
16,100000,12,search,10000,0.180296,18108,0,5000
16,100000,16,insert,100000,7.09774,307038,119417,0
16,100000,16,search,10000,0.164749,17404,0,5000
16,100000,20,insert,100000,7.28123,294879,119183,0
16,100000,20,search,10000,0.163022,16841,0,5000
16,100000,24,insert,100000,9.95615,285157,118971,0
16,100000,24,search,10000,0.154998,16369,0,5000
16,100000,32,insert,100000,7.25866,270175,118584,0
16,100000,32,search,10000,0.149276,15575,0,5000
