order,cache,phase,n,time_s,time_s_base,time_s_gain_pct,reads,reads_base,reads_gain_pct,writes,writes_base,writes_gain_pct
4,2,insert,100000,16.5765,16.0324,-3.3937526508819658,1219730,1219730,0.0,234630,234630,0.0
4,2,search,10000,1.26247,1.19967,-5.234772895879698,127189,127189,0.0,0,0,
4,3,insert,100000,17.0282,16.0324,-6.21117237593872,1219710,1219730,0.0016397071483033132,234624,234630,0.002557217747091165
4,3,search,10000,1.28552,1.19967,-7.156134603682678,127189,127189,0.0,0,0,
4,4,insert,100000,16.7414,16.0324,-4.422294852922829,1219667,1219730,0.005165077517155436,234616,234630,0.005966841409879384
4,4,search,10000,1.26196,1.19967,-5.192261205164749,127188,127189,0.0007862315137315334,0,0,
4,5,insert,100000,16.5354,16.0324,-3.137396771537637,1219571,1219730,0.013035671829011337,234609,234630,0.008950262114819077
4,5,search,10000,1.23646,1.19967,-3.066676669417413,127187,127189,0.0015724630274630668,0,0,
4,6,insert,100000,16.2613,16.0324,-1.42773383897607,1219364,1219730,0.030006640813950627,234599,234630,0.013212291693304352
4,6,search,10000,1.1896,1.19967,0.839397500979438,127176,127189,0.010221009678509934,0,0,
4,7,insert,100000,16.0307,16.0324,0.010603527856088863,1218794,1219730,0.07673829454059505,234577,234630,0.022588756765971954
4,7,search,10000,1.21139,1.19967,-0.9769353238807298,127137,127189,0.040884038714039735,0,0,
4,8,insert,100000,16.1762,16.0324,-0.8969337092388063,1217490,1219730,0.18364720060997106,234551,234630,0.03367003367003367
4,8,search,10000,1.25858,1.19967,-4.910517058857853,127077,127189,0.08805792953793173,0,0,
4,10,insert,100000,17.0627,16.0324,-6.426361617724112,1209025,1219730,0.8776532511293483,234509,234630,0.051570557899671826
4,10,search,10000,1.28295,1.19967,-6.941909024981871,126709,127189,0.37739112659113605,0,0,
4,12,insert,100000,15.8088,16.0324,1.3946757815423727,1161678,1219730,4.759413968665196,234453,234630,0.07543792353918936
4,12,search,10000,1.18287,1.19967,1.4003851059041175,124223,127189,2.3319626697277283,0,0,
4,16,insert,100000,14.3886,16.0324,10.25298769990768,1034699,1219730,15.169832667885515,234358,234630,0.11592720453479947
4,16,search,10000,1.11364,1.19967,7.171138729817371,109131,127189,14.197768674964028,0,0,
4,20,insert,100000,14.679,16.0324,8.441655647314182,1030722,1219730,15.49588843432563,234315,234630,0.13425393172228614
4,20,search,10000,1.04841,1.19967,12.608467328515339,107374,127189,15.579177444590334,0,0,
4,24,insert,100000,15.0432,16.0324,6.170005738379772,1009903,1219730,17.202741590351962,234251,234630,0.1615309210245919
4,24,search,10000,0.714626,1.19967,40.43145198262856,74021,127189,41.80235712207816,0,0,
4,32,insert,100000,14.096,16.0324,12.078041965020828,967820,1219730,20.65293138645438,234123,234630,0.2160848996292034
4,32,search,10000,0.485541,1.19967,59.52711995798845,51237,127189,59.71585593093742,0,0,
8,2,insert,100000,9.37412,9.54248,1.764321224671153,666077,666077,0.0,146875,146875,0.0
8,2,search,10000,0.693535,0.644269,-7.646805914920636,68955,68955,0.0,0,0,
8,3,insert,100000,9.39722,9.54248,1.522245789354535,665890,666077,0.028074832189071232,146857,146875,0.012255319148936171
8,3,search,10000,0.680836,0.644269,-5.675734825049788,68941,68955,0.020303096222173883,0,0,
8,4,insert,100000,9.48334,9.54248,0.6197550322347996,664855,666077,0.18346227237992005,146829,146875,0.031319148936170216
8,4,search,10000,0.647876,0.644269,-0.5598593134234344,68919,68955,0.052207961714161415,0,0,
8,5,insert,100000,9.32494,9.54248,2.279700874405811,659583,666077,0.9749623542022918,146790,146875,0.05787234042553192
8,5,search,10000,0.649181,0.644269,-0.762414457315194,68767,68955,0.2726415778406207,0,0,
8,6,insert,100000,9.35485,9.54248,1.9662603432231311,635618,666077,4.572894725384603,146735,146875,0.09531914893617022
8,6,search,10000,0.637363,0.644269,1.0719125085950072,67955,68955,1.450221158726706,0,0,
8,7,insert,100000,8.07695,9.54248,15.35795726058634,547546,666077,17.79539002247488,146691,146875,0.12527659574468086
8,7,search,10000,0.531633,0.644269,17.48275953056875,56942,68955,17.421506779783915,0,0,
8,8,insert,100000,7.88599,9.54248,17.35911419253695,526006,666077,21.029250371953992,146662,146875,0.14502127659574468
8,8,search,10000,0.530402,0.644269,17.673828788906487,56937,68955,17.42875788557755,0,0,
8,10,insert,100000,7.87704,9.54248,17.45290532440204,523966,666077,21.335521268562044,146600,146875,0.18723404255319148
8,10,search,10000,0.533993,0.644269,17.116452910197438,56509,68955,18.049452541512583,0,0,
8,12,insert,100000,7.92727,9.54248,16.92652224578935,517389,666077,22.322944644538094,146552,146875,0.21991489361702127
8,12,search,10000,0.462087,0.644269,28.277318945968215,48797,68955,29.233558117612933,0,0,
8,16,insert,100000,7.61379,9.54248,20.211622135964653,493353,666077,25.931536443984704,146417,146875,0.31182978723404253
8,16,search,10000,0.265427,0.644269,58.80183587911261,26741,68955,61.21963599448917,0,0,
8,20,insert,100000,7.5572,9.54248,20.80465455520996,475624,666077,28.593240721418095,146298,146875,0.39285106382978724
8,20,search,10000,0.245009,0.644269,61.97100900400297,25805,68955,62.577042999057355,0,0,
8,24,insert,100000,7.32939,9.54248,23.19197944349896,464720,666077,30.23028869034661,146205,146875,0.4561702127659575
8,24,search,10000,0.241003,0.644269,62.592798970616315,25149,68955,63.52838807918207,0,0,
8,32,insert,100000,7.08208,9.54248,25.783653725237038,443865,666077,33.3613080769941,145979,146875,0.6100425531914894
8,32,search,10000,0.238973,0.644269,62.9078847500035,24151,68955,64.97570879559133,0,0,
16,2,insert,100000,8.13888,7.37279,-10.390774727070758,479782,479782,0.0,120240,120240,0.0
16,2,search,10000,0.468308,0.487083,3.8545791990276785,49554,49555,0.002017959842599132,0,0,
16,3,insert,100000,6.92566,7.37279,6.064596984316663,478101,479782,0.3503674585540933,120181,120240,0.049068529607451755
16,3,search,10000,0.459778,0.487083,5.605820773872209,49519,49555,0.07264655433356877,0,0,
16,4,insert,100000,6.73389,7.37279,8.66564760423124,460069,479782,4.108741053228341,120105,120240,0.1122754491017964
16,4,search,10000,0.463266,0.487083,4.889721053701315,49079,49555,0.960548885077187,0,0,
