exp,order,n,pattern,cache,family,reuse,valid,phase,ops,reads,writes,io_total,io_per_op,wall_s,cpu_user_s,cpu_sys_s,io_wait_s,record_bytes,file_bytes,slots,live_nodes,height
order_sweep,3,100000,seq,3,reactive,1,1,insert,100000,49979,149967,199946,1.99946,0.454395,0.209614,0.243781,0.00100011,24,2399856,99994,99994,16
order_sweep,3,100000,seq,3,reactive,1,1,search,20000,309949,0,309949,15.4975,0.201653,0.072693,0.128478,0.00048245,24,0,0,0,16
order_sweep,3,100000,seq,3,reactive,1,1,delete,50000,1262296,163960,1426256,28.5251,1.51332,0.502558,1.00592,0.00484081,24,2399856,99994,75923,14
order_sweep,3,100000,seq,3,reactive,1,1,reinsert,50000,502152,124678,626830,12.5366,0.813713,0.285914,0.524949,0.00284989,24,2399856,99994,75923,14
order_sweep,3,100000,rand,3,reactive,1,1,insert,100000,1074942,249098,1324040,13.2404,1.625,0.624929,0.994752,0.00532214,24,1790376,74599,74599,14
order_sweep,3,100000,rand,3,reactive,1,1,search,20000,272537,0,272537,13.6268,0.194111,0.064484,0.129028,0.000599291,24,0,0,0,14
order_sweep,3,100000,rand,3,reactive,1,1,delete,50000,1240438,135552,1375990,27.5198,1.40616,0.468591,0.933087,0.00447973,24,1822632,75943,75943,14
order_sweep,3,100000,rand,3,reactive,1,1,reinsert,50000,502233,124693,626926,12.5385,0.792383,0.308625,0.481476,0.00228162,24,1822632,75943,75943,14
order_sweep,4,100000,seq,3,reactive,1,1,insert,100000,16658,66658,83316,0.83316,0.215051,0.112593,0.101623,0.000835082,32,1600064,50002,50002,11
order_sweep,4,100000,seq,3,reactive,1,1,search,20000,214900,0,214900,10.745,0.142784,0.053583,0.088354,0.000847312,32,0,0,0,11
order_sweep,4,100000,seq,3,reactive,1,1,delete,50000,927503,101372,1028875,20.5775,1.02307,0.336482,0.682485,0.00410306,32,2008960,62780,62780,11
order_sweep,4,100000,seq,3,reactive,1,1,reinsert,50000,392353,102084,494437,9.88874,0.629666,0.252798,0.374604,0.00226352,32,2008960,62780,62780,11
order_sweep,4,100000,rand,3,reactive,1,1,insert,100000,828025,203958,1031983,10.3198,1.24976,0.460717,0.7858,0.00324354,32,1665056,52033,52033,11
order_sweep,4,100000,rand,3,reactive,1,1,search,20000,214712,0,214712,10.7356,0.145976,0.046901,0.098772,0.000302676,32,0,0,0,11
order_sweep,4,100000,rand,3,reactive,1,1,delete,50000,945461,109660,1055121,21.1024,1.08714,0.360751,0.72248,0.00390817,32,2001152,62536,62536,11
order_sweep,4,100000,rand,3,reactive,1,1,reinsert,50000,389100,102151,491251,9.82502,0.600487,0.208322,0.390697,0.00146787,32,2001152,62536,62536,11
order_sweep,8,100000,seq,3,reactive,1,1,insert,100000,4993,29992,34985,0.34985,0.112357,0.070911,0.041119,0.000326993,64,1599936,24999,24999,7
order_sweep,8,100000,seq,3,reactive,1,1,search,20000,137513,0,137513,6.87565,0.0842634,0.033658,0.050435,0.000170429,64,0,0,0,7
order_sweep,8,100000,seq,3,reactive,1,1,delete,50000,558737,108241,666978,13.3396,0.701574,0.223248,0.476406,0.00191989,64,1599936,24999,23808,7
order_sweep,8,100000,seq,3,reactive,1,1,reinsert,50000,227648,71061,298709,5.97418,0.349657,0.107599,0.24117,0.000887758,64,1599936,24999,23808,7
order_sweep,8,100000,rand,3,reactive,1,1,insert,100000,492494,142391,634885,6.34885,0.692371,0.231279,0.459487,0.0016046,64,1361024,21266,21266,7
order_sweep,8,100000,rand,3,reactive,1,1,search,20000,137865,0,137865,6.89325,0.0928031,0.0282,0.064322,0.000281077,64,0,0,0,7
order_sweep,8,100000,rand,3,reactive,1,1,delete,50000,537659,99645,637304,12.7461,0.640379,0.215392,0.4232,0.00178734,64,1523648,23807,23807,7
order_sweep,8,100000,rand,3,reactive,1,1,reinsert,50000,227816,71038,298854,5.97708,0.338068,0.115131,0.221927,0.00100992,64,1523648,23807,23807,7
order_sweep,16,100000,seq,3,reactive,1,1,insert,100000,1383,13881,15264,0.15264,0.0623772,0.037673,0.024527,0.000177183,128,1599744,12498,12498,5
order_sweep,16,100000,seq,3,reactive,1,1,search,20000,98509,0,98509,4.92545,0.0608759,0.022908,0.037838,0.000129855,128,0,0,0,5
order_sweep,16,100000,seq,3,reactive,1,1,delete,50000,358651,104376,463027,9.26054,0.506613,0.149426,0.355722,0.00146548,128,1599744,12498,10609,5
order_sweep,16,100000,seq,3,reactive,1,1,reinsert,50000,158734,59646,218380,4.3676,0.278714,0.082623,0.195161,0.000930311,128,1599744,12498,10609,5
order_sweep,16,100000,rand,3,reactive,1,1,insert,100000,343892,119308,463200,4.632,0.520783,0.178501,0.340977,0.00130501,128,1249792,9764,9764,5
order_sweep,16,100000,rand,3,reactive,1,1,search,20000,98914,0,98914,4.9457,0.0660997,0.026883,0.039045,0.000171665,128,0,0,0,5
order_sweep,16,100000,rand,3,reactive,1,1,delete,50000,340295,91703,431998,8.63996,0.463604,0.142473,0.319898,0.00123274,128,1352576,10567,10567,5
order_sweep,16,100000,rand,3,reactive,1,1,reinsert,50000,158097,59531,217628,4.35256,0.250547,0.077638,0.172207,0.000701666,128,1352576,10567,10567,5
order_sweep,32,100000,seq,3,reactive,1,1,insert,100000,364,6613,6977,0.06977,0.0388993,0.028858,0.009906,0.000135259,256,1599744,6249,6249,4
order_sweep,32,100000,seq,3,reactive,1,1,search,20000,78777,0,78777,3.93885,0.0492596,0.018696,0.030445,0.000118552,256,0,0,0,4
order_sweep,32,100000,seq,3,reactive,1,1,delete,50000,250961,98185,349146,6.98292,0.408355,0.143367,0.263818,0.00117017,256,1599744,6249,4996,4
order_sweep,32,100000,seq,3,reactive,1,1,reinsert,50000,119213,54392,173605,3.4721,0.207099,0.0569,0.149724,0.000474891,256,1599744,6249,4996,4
order_sweep,32,100000,rand,3,reactive,1,1,insert,100000,258768,109066,367834,3.67834,0.421715,0.133608,0.287143,0.000964183,256,1206784,4714,4714,4
order_sweep,32,100000,rand,3,reactive,1,1,search,20000,79101,0,79101,3.95505,0.0516455,0.01777,0.033784,9.1489e-05,256,0,0,0,4
order_sweep,32,100000,rand,3,reactive,1,1,delete,50000,234878,85862,320740,6.4148,0.361748,0.12459,0.236213,0.000944653,256,1284608,5018,5018,4
order_sweep,32,100000,rand,3,reactive,1,1,reinsert,50000,118440,54388,172828,3.45656,0.20119,0.058882,0.141642,0.000665824,256,1284608,5018,5018,4
order_sweep,64,100000,seq,3,reactive,1,1,insert,100000,91,3215,3306,0.03306,0.0272901,0.021013,0.00615,0.00012715,512,1599488,3124,3124,4
order_sweep,64,100000,seq,3,reactive,1,1,search,20000,79212,0,79212,3.9606,0.05669,0.022778,0.033612,0.000300038,512,0,0,0,4
order_sweep,64,100000,seq,3,reactive,1,1,delete,50000,153143,93808,246951,4.93902,0.32373,0.096273,0.226538,0.000918579,512,1599488,3124,2439,3
order_sweep,64,100000,seq,3,reactive,1,1,reinsert,50000,91112,51857,142969,2.85938,0.180295,0.048191,0.130793,0.00131086,512,1599488,3124,2439,3
order_sweep,64,100000,rand,3,reactive,1,1,insert,100000,189182,103892,293074,2.93074,0.357099,0.089744,0.266217,0.00113796,512,1177088,2299,2299,3
order_sweep,64,100000,rand,3,reactive,1,1,search,20000,39456,0,39456,1.9728,0.0303649,0.016708,0.013543,0.000113899,512,0,0,0,3
order_sweep,64,100000,rand,3,reactive,1,1,delete,50000,135208,81686,216894,4.33788,0.278083,0.098728,0.17848,0.000874965,512,1243648,2429,2429,3
order_sweep,64,100000,rand,3,reactive,1,1,reinsert,50000,91100,51817,142917,2.85834,0.172126,0.039594,0.132072,0.000459793,512,1243648,2429,2429,3
order_sweep,128,100000,seq,3,reactive,1,1,insert,100000,22,1584,1606,0.01606,0.0225939,0.019126,0.003375,9.2919e-05,1024,1599488,1562,1562,3
order_sweep,128,100000,seq,3,reactive,1,1,search,20000,38349,0,38349,1.91745,0.0320117,0.016902,0.014926,0.000183744,1024,0,0,0,3
order_sweep,128,100000,seq,3,reactive,1,1,delete,50000,142424,90985,233409,4.66818,0.310377,0.087504,0.221919,0.000953611,1024,1599488,1562,1199,3
order_sweep,128,100000,seq,3,reactive,1,1,reinsert,50000,78173,50364,128537,2.57074,0.177575,0.055005,0.121928,0.000641553,1024,1599488,1562,1199,3
order_sweep,128,100000,rand,3,reactive,1,1,insert,100000,170324,101065,271389,2.71389,0.345889,0.11759,0.227188,0.00111111,1024,1189888,1162,1162,3
order_sweep,128,100000,rand,3,reactive,1,1,search,20000,38782,0,38782,1.9391,0.0272349,0.007709,0.019429,9.692e-05,1024,0,0,0,3
order_sweep,128,100000,rand,3,reactive,1,1,delete,50000,127683,78001,205684,4.11368,0.26584,0.08967,0.175358,0.000812266,1024,1230848,1202,1202,3
order_sweep,128,100000,rand,3,reactive,1,1,reinsert,50000,76187,50357,126544,2.53088,0.164528,0.036713,0.127298,0.000516947,1024,1230848,1202,1202,3
order_sweep,256,100000,seq,3,reactive,1,1,insert,100000,5,787,792,0.00792,0.0199779,0.019868,3e-06,0.000106886,2048,1601536,782,782,3
order_sweep,256,100000,seq,3,reactive,1,1,search,20000,36569,0,36569,1.82845,0.0317708,0.014344,0.017299,0.000127782,2048,0,0,0,3
order_sweep,256,100000,seq,3,reactive,1,1,delete,50000,125748,86814,212562,4.25124,0.301053,0.09996,0.200129,0.000964358,2048,1601536,782,609,3
order_sweep,256,100000,seq,3,reactive,1,1,reinsert,50000,54723,49183,103906,2.07812,0.159544,0.045688,0.113281,0.000574869,2048,1601536,782,609,3
order_sweep,256,100000,rand,3,reactive,1,1,insert,100000,126794,98494,225288,2.25288,0.318578,0.10979,0.207866,0.000921958,2048,1097728,536,536,3
order_sweep,256,100000,rand,3,reactive,1,1,search,20000,35015,0,35015,1.75075,0.0288788,0.018771,0.010046,6.1839e-05,2048,0,0,0,3
order_sweep,256,100000,rand,3,reactive,1,1,delete,50000,102394,68323,170717,3.41434,0.254009,0.095583,0.157339,0.00108712,2048,1284096,627,627,3
order_sweep,256,100000,rand,3,reactive,1,1,reinsert,50000,53051,49167,102218,2.04436,0.155502,0.042671,0.112324,0.000506616,2048,1284096,627,627,3
size_sweep,8,1000,seq,3,reactive,1,1,insert,1000,46,295,341,0.341,0.000859747,0.000856,0,3.747e-06,64,15936,249,249,4
size_sweep,8,1000,seq,3,reactive,1,1,search,2000,7546,0,7546,3.773,0.00427079,0.003089,0.001176,5.788e-06,64,0,0,0,4
size_sweep,8,1000,seq,3,reactive,1,1,delete,500,2620,1088,3708,7.416,0.00474623,0,0.004725,2.1234e-05,64,15936,249,234,4
size_sweep,8,1000,seq,3,reactive,1,1,reinsert,500,990,653,1643,3.286,0.00249686,0.000737,0.00174,1.9856e-05,64,15936,249,234,4
size_sweep,8,1000,rand,3,reactive,1,1,insert,1000,2261,1347,3608,3.608,0.00449287,0.000814,0.003631,4.7872e-05,64,13504,211,211,4
size_sweep,8,1000,rand,3,reactive,1,1,search,2000,7559,0,7559,3.7795,0.00480737,0.002923,0.001869,1.5367e-05,64,0,0,0,4
size_sweep,8,1000,rand,3,reactive,1,1,delete,500,2363,940,3303,6.606,0.00388984,0.00096,0.002921,8.839e-06,64,14912,233,233,4
size_sweep,8,1000,rand,3,reactive,1,1,reinsert,500,1006,654,1660,3.32,0.00216133,5.5e-05,0.002099,7.328e-06,64,14912,233,233,4
size_sweep,8,10000,seq,3,reactive,1,1,insert,10000,495,2995,3490,0.349,0.0114523,0.002785,0.008579,8.8337e-05,64,160000,2500,2500,6
size_sweep,8,10000,seq,3,reactive,1,1,search,20000,117458,0,117458,5.8729,0.0733457,0.022663,0.050393,0.000289687,64,0,0,0,6
size_sweep,8,10000,seq,3,reactive,1,1,delete,5000,44885,10965,55850,11.17,0.05896,0.01693,0.041846,0.000183975,64,160000,2500,2371,6
size_sweep,8,10000,seq,3,reactive,1,1,reinsert,5000,16240,7015,23255,4.651,0.0280141,0.009975,0.01796,7.9056e-05,64,160000,2500,2371,6
size_sweep,8,10000,rand,3,reactive,1,1,insert,10000,35040,14133,49173,4.9173,0.0574717,0.020724,0.036491,0.000256739,64,136000,2125,2125,6
size_sweep,8,10000,rand,3,reactive,1,1,search,20000,117748,0,117748,5.8874,0.0705888,0.025809,0.044653,0.000126828,64,0,0,0,6
size_sweep,8,10000,rand,3,reactive,1,1,delete,5000,42496,9960,52456,10.4912,0.0524211,0.011111,0.041167,0.0001431,64,152000,2375,2375,6
size_sweep,8,10000,rand,3,reactive,1,1,reinsert,5000,16406,7023,23429,4.6858,0.0296641,0.009835,0.019688,0.000141103,64,152000,2375,2375,6
size_sweep,8,100000,seq,3,reactive,1,1,insert,100000,4993,29992,34985,0.34985,0.111752,0.06759,0.043654,0.000508446,64,1599936,24999,24999,7
size_sweep,8,100000,seq,3,reactive,1,1,search,20000,137513,0,137513,6.87565,0.0839999,0.024905,0.058798,0.000296852,64,0,0,0,7
size_sweep,8,100000,seq,3,reactive,1,1,delete,50000,558737,108241,666978,13.3396,0.713711,0.226027,0.484945,0.00273869,64,1599936,24999,23808,7
size_sweep,8,100000,seq,3,reactive,1,1,reinsert,50000,227648,71061,298709,5.97418,0.369467,0.115258,0.252397,0.00181152,64,1599936,24999,23808,7
size_sweep,8,100000,rand,3,reactive,1,1,insert,100000,492494,142391,634885,6.34885,0.733927,0.266898,0.463984,0.00304536,64,1361024,21266,21266,7
size_sweep,8,100000,rand,3,reactive,1,1,search,20000,137865,0,137865,6.89325,0.0951614,0.039832,0.054759,0.000570354,64,0,0,0,7
size_sweep,8,100000,rand,3,reactive,1,1,delete,50000,537659,99645,637304,12.7461,0.743257,0.248743,0.488747,0.00576708,64,1523648,23807,23807,7
size_sweep,8,100000,rand,3,reactive,1,1,reinsert,50000,227816,71038,298854,5.97708,0.370852,0.115805,0.251037,0.00400969,64,1523648,23807,23807,7
size_sweep,100,1000,seq,3,reactive,1,1,insert,1000,0,20,20,0.02,0.000168035,5.9e-05,0.000111,0,800,16000,20,20,2
size_sweep,100,1000,seq,3,reactive,1,1,search,2000,846,0,846,0.423,0.000836878,0.000832,0,4.878e-06,800,0,0,0,2
size_sweep,100,1000,seq,3,reactive,1,1,delete,500,636,588,1224,2.448,0.00187629,6.2e-05,0.00181,4.289e-06,800,16000,20,18,2
size_sweep,100,1000,seq,3,reactive,1,1,reinsert,500,182,192,374,0.748,0.000579202,0.0002,0.000379,2.02e-07,800,16000,20,18,2
size_sweep,100,1000,rand,3,reactive,1,1,insert,1000,591,608,1199,1.199,0.00193465,0.001925,0,9.649e-06,800,13600,17,17,2
size_sweep,100,1000,rand,3,reactive,1,1,search,2000,861,0,861,0.4305,0.00103669,0.001033,0,3.689e-06,800,0,0,0,2
size_sweep,100,1000,rand,3,reactive,1,1,delete,500,631,579,1210,2.42,0.00186555,0.001863,0,2.547e-06,800,13600,17,17,2
size_sweep,100,1000,rand,3,reactive,1,1,reinsert,500,205,215,420,0.84,0.000702522,0,0.000695,7.522e-06,800,13600,17,17,2
size_sweep,100,10000,seq,3,reactive,1,1,insert,10000,2,202,204,0.0204,0.00201552,0.001984,2.5e-05,6.523e-06,800,160000,200,200,3
size_sweep,100,10000,seq,3,reactive,1,1,search,20000,30119,0,30119,1.50595,0.0234948,0.010613,0.01282,6.179e-05,800,0,0,0,3
size_sweep,100,10000,seq,3,reactive,1,1,delete,5000,11213,8259,19472,3.8944,0.0287526,0.009887,0.01879,7.5625e-05,800,160000,200,153,3
size_sweep,100,10000,seq,3,reactive,1,1,reinsert,5000,4481,4556,9037,1.8074,0.0142418,8.7e-05,0.014089,6.5773e-05,800,160000,200,153,3
size_sweep,100,10000,rand,3,reactive,1,1,insert,10000,10611,9441,20052,2.0052,0.030419,0.01343,0.016832,0.000157036,800,117600,147,147,3
size_sweep,100,10000,rand,3,reactive,1,1,search,20000,30079,0,30079,1.50395,0.0234717,0.009781,0.013608,8.275e-05,800,0,0,0,3
size_sweep,100,10000,rand,3,reactive,1,1,delete,5000,9434,6976,16410,3.282,0.0246463,0.013163,0.011359,0.000124348,800,120800,151,151,3
size_sweep,100,10000,rand,3,reactive,1,1,reinsert,5000,4473,4544,9017,1.8034,0.013859,0.002932,0.010853,7.3955e-05,800,120800,151,151,3
size_sweep,100,100000,seq,3,reactive,1,1,insert,100000,37,2036,2073,0.02073,0.0255055,0.01882,0.006491,0.000194463,800,1599200,1999,1999,3
size_sweep,100,100000,seq,3,reactive,1,1,search,20000,39018,0,39018,1.9509,0.0325242,0.012134,0.020261,0.000129233,800,0,0,0,3
size_sweep,100,100000,seq,3,reactive,1,1,delete,50000,145932,92343,238275,4.7655,0.360328,0.111549,0.245969,0.0028096,800,1599200,1999,1545,3
size_sweep,100,100000,seq,3,reactive,1,1,reinsert,50000,83454,50799,134253,2.68506,0.199007,0.059143,0.138791,0.00107317,800,1599200,1999,1545,3
size_sweep,100,100000,rand,3,reactive,1,1,insert,100000,179121,101882,281003,2.81003,0.410872,0.123031,0.284545,0.00329614,800,1162400,1453,1453,3
size_sweep,100,100000,rand,3,reactive,1,1,search,20000,38432,0,38432,1.9216,0.0318964,0.011931,0.019865,0.0001004,800,0,0,0,3
size_sweep,100,100000,rand,3,reactive,1,1,delete,50000,130573,79165,209738,4.19476,0.317822,0.095438,0.220729,0.00165486,800,1225600,1532,1532,3
size_sweep,100,100000,rand,3,reactive,1,1,reinsert,50000,82542,50778,133320,2.6664,0.197531,0.061571,0.135121,0.000839396,800,1225600,1532,1532,3
family_compare,4,100000,seq,3,reactive,1,1,insert,100000,16658,66658,83316,0.83316,0.235742,0.124391,0.110457,0.000893895,32,1600064,50002,50002,11
family_compare,4,100000,seq,3,reactive,1,1,search,20000,214900,0,214900,10.745,0.142896,0.055761,0.08664,0.000495118,32,0,0,0,11
family_compare,4,100000,seq,3,reactive,1,1,delete,50000,927503,101372,1028875,20.5775,1.07478,0.386507,0.684328,0.00394023,32,2008960,62780,62780,11
family_compare,4,100000,seq,3,reactive,1,1,reinsert,50000,392353,102084,494437,9.88874,0.630164,0.253946,0.373541,0.00267714,32,2008960,62780,62780,11
family_compare,4,100000,rand,3,reactive,1,1,insert,100000,828025,203958,1031983,10.3198,1.27461,0.476052,0.791712,0.00685047,32,1665056,52033,52033,11
family_compare,4,100000,rand,3,reactive,1,1,search,20000,214712,0,214712,10.7356,0.154939,0.052788,0.101608,0.000543384,32,0,0,0,11
family_compare,4,100000,rand,3,reactive,1,1,delete,50000,945461,109660,1055121,21.1024,1.13934,0.404449,0.723606,0.0112895,32,2001152,62536,62536,11
family_compare,4,100000,rand,3,reactive,1,1,reinsert,50000,389100,102151,491251,9.82502,0.640564,0.261853,0.373534,0.00517665,32,2001152,62536,62536,11
family_compare,4,100000,seq,3,preemptive,1,1,insert,100000,1468795,349900,1818695,18.1869,1.77212,0.575028,1.18979,0.00730516,32,3199680,99990,99990,16
family_compare,4,100000,seq,3,preemptive,1,1,search,20000,309949,0,309949,15.4975,0.206367,0.073935,0.131867,0.00056463,32,0,0,0,16
family_compare,4,100000,seq,3,preemptive,1,1,delete,50000,760234,317857,1078091,21.5618,1.39107,0.403972,0.978983,0.00811636,32,3199680,99990,63515,13
family_compare,4,100000,seq,3,preemptive,1,1,reinsert,50000,607962,117136,725098,14.502,0.821074,0.211343,0.605894,0.00383692,32,3199680,99990,63515,13
family_compare,4,100000,rand,3,preemptive,1,1,insert,100000,1212367,234384,1446751,14.4675,1.55478,0.472063,1.07432,0.00839581,32,1827680,57115,57115,13
family_compare,4,100000,rand,3,preemptive,1,1,search,20000,254325,0,254325,12.7163,0.170753,0.049803,0.120541,0.000409486,32,0,0,0,13
family_compare,4,100000,rand,3,preemptive,1,1,delete,50000,664913,275570,940483,18.8097,1.15357,0.324891,0.823941,0.00473846,32,2002400,62575,62575,13
family_compare,4,100000,rand,3,preemptive,1,1,reinsert,50000,603571,117147,720718,14.4144,0.764226,0.251294,0.510515,0.00241689,32,2002400,62575,62575,13
family_compare,8,100000,seq,3,reactive,1,1,insert,100000,4993,29992,34985,0.34985,0.112564,0.061616,0.050558,0.000390028,64,1599936,24999,24999,7
family_compare,8,100000,seq,3,reactive,1,1,search,20000,137513,0,137513,6.87565,0.083193,0.036619,0.046348,0.000225951,64,0,0,0,7
family_compare,8,100000,seq,3,reactive,1,1,delete,50000,558737,108241,666978,13.3396,0.703453,0.213352,0.485185,0.00491567,64,1599936,24999,23808,7
family_compare,8,100000,seq,3,reactive,1,1,reinsert,50000,227648,71061,298709,5.97418,0.379133,0.130289,0.246806,0.00203836,64,1599936,24999,23808,7
family_compare,8,100000,rand,3,reactive,1,1,insert,100000,492494,142391,634885,6.34885,0.765572,0.256829,0.502373,0.00636963,64,1361024,21266,21266,7
family_compare,8,100000,rand,3,reactive,1,1,search,20000,137865,0,137865,6.89325,0.0919942,0.037845,0.053793,0.000356197,64,0,0,0,7
family_compare,8,100000,rand,3,reactive,1,1,delete,50000,537659,99645,637304,12.7461,0.675662,0.225046,0.447136,0.0034802,64,1523648,23807,23807,7
family_compare,8,100000,rand,3,reactive,1,1,reinsert,50000,227816,71038,298854,5.97708,0.364717,0.122428,0.240846,0.00144311,64,1523648,23807,23807,7
family_compare,8,100000,seq,3,preemptive,1,1,insert,100000,755975,174805,930780,9.3078,0.931595,0.339953,0.588098,0.00354432,64,2133056,33329,33329,8
family_compare,8,100000,seq,3,preemptive,1,1,search,20000,156638,0,156638,7.8319,0.094765,0.042161,0.052373,0.000231042,64,0,0,0,8
family_compare,8,100000,seq,3,preemptive,1,1,delete,50000,443734,168328,612062,12.2412,0.719904,0.229479,0.487823,0.00260194,64,2133056,33329,23828,7
family_compare,8,100000,seq,3,preemptive,1,1,reinsert,50000,349999,73623,423622,8.47244,0.457496,0.141383,0.314536,0.00157661,64,2133056,33329,23828,7
family_compare,8,100000,rand,3,preemptive,1,1,insert,100000,671157,147056,818213,8.18213,0.860055,0.273652,0.582354,0.00404897,64,1388992,21703,21703,7
family_compare,8,100000,rand,3,preemptive,1,1,search,20000,137870,0,137870,6.8935,0.0882823,0.031042,0.057081,0.00015935,64,0,0,0,7
family_compare,8,100000,rand,3,preemptive,1,1,delete,50000,404789,135262,540051,10.801,0.615556,0.183855,0.429496,0.00220464,64,1526784,23856,23856,7
family_compare,8,100000,rand,3,preemptive,1,1,reinsert,50000,349999,73591,423590,8.4718,0.454759,0.14029,0.312926,0.00154286,64,1526784,23856,23856,7
family_compare,16,100000,seq,3,reactive,1,1,insert,100000,1383,13881,15264,0.15264,0.071903,0.050686,0.020772,0.000445014,128,1599744,12498,12498,5
family_compare,16,100000,seq,3,reactive,1,1,search,20000,98509,0,98509,4.92545,0.0606322,0.021815,0.038652,0.000165186,128,0,0,0,5
family_compare,16,100000,seq,3,reactive,1,1,delete,50000,358651,104376,463027,9.26054,0.519754,0.166813,0.350734,0.00220654,128,1599744,12498,10609,5
family_compare,16,100000,seq,3,reactive,1,1,reinsert,50000,158734,59646,218380,4.3676,0.279939,0.087962,0.190446,0.00153095,128,1599744,12498,10609,5
family_compare,16,100000,rand,3,reactive,1,1,insert,100000,343892,119308,463200,4.632,0.552052,0.16441,0.385429,0.00221279,128,1249792,9764,9764,5
family_compare,16,100000,rand,3,reactive,1,1,search,20000,98914,0,98914,4.9457,0.0704937,0.030056,0.040163,0.000274702,128,0,0,0,5
family_compare,16,100000,rand,3,reactive,1,1,delete,50000,340295,91703,431998,8.63996,0.482358,0.157367,0.323088,0.00190343,128,1352576,10567,10567,5
family_compare,16,100000,rand,3,reactive,1,1,reinsert,50000,158097,59531,217628,4.35256,0.258131,0.090226,0.167047,0.000858314,128,1352576,10567,10567,5
family_compare,16,100000,seq,3,preemptive,1,1,insert,100000,522290,129187,651477,6.51477,0.636776,0.20519,0.429293,0.00229324,128,1828480,14285,14285,6
family_compare,16,100000,seq,3,preemptive,1,1,search,20000,118548,0,118548,5.9274,0.078682,0.025107,0.05321,0.000364971,128,0,0,0,6
family_compare,16,100000,seq,3,preemptive,1,1,delete,50000,306884,119194,426078,8.52156,0.516165,0.147625,0.366092,0.00244791,128,1828480,14285,10550,5
family_compare,16,100000,seq,3,preemptive,1,1,reinsert,50000,249999,60180,310179,6.20358,0.360547,0.109355,0.249422,0.00176986,128,1828480,14285,10550,5
family_compare,16,100000,rand,3,preemptive,1,1,insert,100000,478814,120308,599122,5.99122,0.655702,0.207947,0.444717,0.00303846,128,1255424,9808,9808,5
family_compare,16,100000,rand,3,preemptive,1,1,search,20000,98919,0,98919,4.94595,0.0661604,0.026959,0.038936,0.000265414,128,0,0,0,5
family_compare,16,100000,rand,3,preemptive,1,1,delete,50000,287740,105826,393566,7.87132,0.47139,0.147887,0.320805,0.00269777,128,1348736,10537,10537,5
family_compare,16,100000,rand,3,preemptive,1,1,reinsert,50000,249999,60199,310198,6.20396,0.342025,0.103342,0.236559,0.00212361,128,1348736,10537,10537,5
