order,family,reuse,seed,result
3,reactive,1,42,ok
3,reactive,1,43,ok
3,reactive,1,44,ok
3,reactive,0,42,ok
3,reactive,0,43,ok
3,reactive,0,44,ok
3,preemptive,-,-,na
4,reactive,1,42,ok
4,reactive,1,43,ok
4,reactive,1,44,ok
4,reactive,0,42,ok
4,reactive,0,43,ok
4,reactive,0,44,ok
4,preemptive,1,42,ok
4,preemptive,1,43,ok
4,preemptive,1,44,ok
4,preemptive,0,42,ok
4,preemptive,0,43,ok
4,preemptive,0,44,ok
5,reactive,1,42,ok
5,reactive,1,43,ok
5,reactive,1,44,ok
5,reactive,0,42,ok
5,reactive,0,43,ok
5,reactive,0,44,ok
5,preemptive,1,42,ok
5,preemptive,1,43,ok
5,preemptive,1,44,ok
5,preemptive,0,42,ok
5,preemptive,0,43,ok
5,preemptive,0,44,ok
8,reactive,1,42,ok
8,reactive,1,43,ok
8,reactive,1,44,ok
8,reactive,0,42,ok
8,reactive,0,43,ok
8,reactive,0,44,ok
8,preemptive,1,42,ok
8,preemptive,1,43,ok
8,preemptive,1,44,ok
8,preemptive,0,42,ok
8,preemptive,0,43,ok
8,preemptive,0,44,ok
16,reactive,1,42,ok
16,reactive,1,43,ok
16,reactive,1,44,ok
16,reactive,0,42,ok
16,reactive,0,43,ok
16,reactive,0,44,ok
16,preemptive,1,42,ok
16,preemptive,1,43,ok
16,preemptive,1,44,ok
16,preemptive,0,42,ok
16,preemptive,0,43,ok
16,preemptive,0,44,ok
32,reactive,1,42,ok
32,reactive,1,43,ok
32,reactive,1,44,ok
32,reactive,0,42,ok
32,reactive,0,43,ok
32,reactive,0,44,ok
32,preemptive,1,42,ok
32,preemptive,1,43,ok
32,preemptive,1,44,ok
32,preemptive,0,42,ok
32,preemptive,0,43,ok
32,preemptive,0,44,ok
64,reactive,1,42,ok
64,reactive,1,43,ok
64,reactive,1,44,ok
64,reactive,0,42,ok
64,reactive,0,43,ok
64,reactive,0,44,ok
64,preemptive,1,42,ok
64,preemptive,1,43,ok
64,preemptive,1,44,ok
64,preemptive,0,42,ok
64,preemptive,0,43,ok
64,preemptive,0,44,ok
128,reactive,1,42,ok
128,reactive,1,43,ok
128,reactive,1,44,ok
128,reactive,0,42,ok
128,reactive,0,43,ok
128,reactive,0,44,ok
128,preemptive,1,42,ok
128,preemptive,1,43,ok
128,preemptive,1,44,ok
128,preemptive,0,42,ok
128,preemptive,0,43,ok
128,preemptive,0,44,ok
256,reactive,1,42,ok
256,reactive,1,43,ok
256,reactive,1,44,ok
256,reactive,0,42,ok
256,reactive,0,43,ok
256,reactive,0,44,ok
256,preemptive,1,42,ok
256,preemptive,1,43,ok
256,preemptive,1,44,ok
256,preemptive,0,42,ok
256,preemptive,0,43,ok
256,preemptive,0,44,ok
